question_id,tries,answer,gt,correct
2949,0,B,B,True
2971,0,E,E,True
2980,0,C,C,True
2988,0,A,A,True
2992,0,A,E,False
2995,0,B,A,False
3000,0,A,C,False
3005,0,E,E,True
3016,0,E,C,False
3031,0,A,C,False
3034,0,E,A,False
3046,0,B,C,False
3078,0,D,E,False
3079,0,A,B,False
3082,0,E,D,False
3089,0,A,A,True
3100,0,A,B,False
3114,0,A,A,True
3134,0,E,D,False
3137,0,D,B,False
3146,0,C,C,True
3149,0,A,D,False
3178,0,E,E,True
3180,0,B,B,True
3191,0,D,B,False
3192,0,E,B,False
3199,0,D,B,False
3216,0,B,D,False
3217,0,A,A,True
3222,0,A,B,False
3223,0,B,E,False
3225,0,A,E,False
3238,0,A,C,False
3248,0,B,C,False
3261,0,B,B,True
3280,0,E,D,False
3283,0,E,A,False
3287,0,E,D,False
3293,0,A,A,True
3305,0,A,B,False
3306,0,A,B,False
3315,0,C,C,True
3322,0,B,B,True
3342,0,D,D,True
3347,0,A,D,False
3362,0,E,C,False
3373,0,C,E,False
3374,0,E,D,False
3399,0,E,C,False
3413,0,D,E,False
3425,0,A,D,False
3431,0,E,D,False
3463,0,B,B,True
3478,0,B,B,True
3488,0,E,A,False
3510,0,E,D,False
3513,0,C,C,True
3524,0,A,A,True
3525,0,E,B,False
3532,0,D,E,False
3533,0,E,D,False
3538,0,C,B,False
3539,0,E,D,False
3549,0,A,A,True
3550,0,D,B,False
3551,0,B,E,False
3554,0,B,E,False
3556,0,A,B,False
3557,0,E,E,True
3565,0,E,E,True
3566,0,E,B,False
3570,0,D,C,False
3576,0,E,E,True
3583,0,E,E,True
3593,0,A,B,False
3607,0,E,A,False
3621,0,E,A,False
3631,0,C,E,False
3643,0,D,D,True
3653,0,A,A,True
3673,0,D,C,False
3676,0,E,A,False
3693,0,E,B,False
3694,0,A,B,False
3701,0,C,A,False
3704,0,A,B,False
3706,0,E,B,False
3708,0,E,E,True
3713,0,E,A,False
3756,0,A,D,False
3758,0,E,B,False
3771,0,C,C,True
3807,0,C,C,True
3818,0,D,D,True
3831,0,A,E,False
3843,0,E,B,False
3849,0,B,E,False
3850,0,E,D,False
3866,0,A,E,False
3874,0,A,C,False
3882,0,B,B,True
3888,0,E,A,False
3893,0,A,E,False
3901,0,E,E,True
3922,0,C,A,False
3959,0,D,D,True
3977,0,A,C,False
3985,0,B,D,False
3995,0,A,A,True
3996,0,A,E,False
3997,0,C,C,True
4000,0,C,D,False
4004,0,A,C,False
4018,0,D,D,True
4033,0,B,B,True
4054,0,E,A,False
4073,0,D,A,False
4074,0,E,E,True
4076,0,D,E,False
4086,0,A,A,True
4105,0,A,D,False
4119,0,B,C,False
4131,0,D,E,False
4137,0,C,A,False
4142,0,C,C,True
4153,0,E,E,True
4164,0,C,B,False
4174,0,C,C,True
4183,0,C,B,False
4190,0,B,B,True
4200,0,E,A,False
4207,0,A,A,True
4237,0,B,B,True
4265,0,A,A,True
4272,0,E,E,True
4277,0,E,A,False
4303,0,B,B,True
4350,0,D,D,True
4360,0,B,B,True
4373,0,A,A,True
4385,0,C,B,False
4386,0,C,C,True
4391,0,B,B,True
4400,0,C,C,True
4402,0,E,B,False
4410,0,B,B,True
4414,0,C,C,True
4431,0,B,B,True
4438,0,A,A,True
4446,0,D,D,True
4458,0,A,A,True
4477,0,C,C,True
4481,0,A,E,False
4485,0,D,E,False
4508,0,E,E,True
4510,0,E,A,False
4520,0,D,E,False
4524,0,C,C,True
4532,0,B,E,False
4550,0,E,B,False
4562,0,A,A,True
4568,0,C,B,False
4570,0,B,B,True
4580,0,B,C,False
4587,0,D,D,True
4628,0,D,A,False
4643,0,D,D,True
4654,0,B,A,False
4657,0,B,A,False
4665,0,E,E,True
4668,0,B,B,True
4670,0,C,C,True
4673,0,E,A,False
4682,0,C,C,True
4709,0,B,C,False
4718,0,C,C,True
4721,0,D,D,True
4722,0,D,D,True
4728,0,B,D,False
4754,0,E,B,False
4768,0,E,E,True
4769,0,B,B,True
4792,0,E,E,True
4796,0,B,B,True
4814,0,B,A,False
4829,0,C,C,True
4838,0,E,E,True
4846,0,E,E,True
4856,0,A,A,True
4859,0,A,A,True
4871,0,C,C,True
4892,0,D,D,True
4899,0,D,A,False
4900,0,E,E,True
4902,0,D,A,False
4903,0,E,E,True
4922,0,B,B,True
4923,0,E,E,True
4966,0,D,D,True
4967,0,B,B,True
4988,0,C,C,True
4991,0,C,C,True
4995,0,B,B,True
4997,0,D,D,True
5007,0,B,B,True
5009,0,C,C,True
5025,0,B,B,True
