question_id,tries,answer,gt,correct
4673,0,D,A,False
4682,0,C,C,True
4709,0,B,C,False
4718,0,C,C,True
4721,0,D,D,True
4722,0,D,D,True
4728,0,B,D,False
4754,0,E,B,False
4768,0,E,E,True
4769,0,B,B,True
4792,0,E,E,True
4796,0,B,B,True
4814,0,B,A,False
4829,0,C,C,True
4838,0,E,E,True
4846,0,E,E,True
4856,0,A,A,True
4859,0,A,A,True
4871,0,C,C,True
4892,0,D,D,True
4899,0,D,A,False
4900,0,E,E,True
4902,0,D,A,False
4903,0,E,E,True
4922,0,B,B,True
4923,0,E,E,True
4966,0,D,D,True
4967,0,B,B,True
4988,0,C,C,True
4991,0,C,C,True
4995,0,B,B,True
4997,0,D,D,True
5007,0,B,B,True
5009,0,C,C,True
5025,0,B,B,True
