snapshot,question_id,answer,gt,correct
310,2088,D,B,False
311,1888,E,C,False
312,301,D,C,False
312,911,B,E,False
312,1367,B,B,True
313,1756,A,D,False
313,1837,A,C,False
314,2808,B,C,False
318,2059,E,E,True
319,164,A,E,False
321,2071,D,C,False
322,2783,A,C,False
323,967,E,D,False
323,2092,B,C,False
326,2135,C,E,False
328,595,A,E,False
329,1639,E,E,True
330,145,D,A,False
330,2311,E,C,False
330,2750,B,A,False
330,2863,A,D,False
331,536,E,C,False
332,1271,E,B,False
332,1940,A,B,False
333,2361,A,A,True
334,1518,C,A,False
335,664,C,B,False
335,2575,E,E,True
336,1598,E,E,True
336,3178,E,E,True
338,940,C,C,True
340,3305,A,B,False
341,2469,D,B,False
341,2916,E,C,False
343,97,B,D,False
343,752,E,B,False
345,2145,A,A,True
346,223,D,B,False
346,1723,E,D,False
346,2219,D,B,False
346,3146,B,C,False
347,3425,A,D,False
348,899,A,C,False
349,3261,B,B,True
351,14,B,B,True
351,2231,A,B,False
352,2001,E,E,True
353,1349,A,E,False
353,2283,E,E,True
355,1375,D,C,False
355,3513,C,C,True
356,3223,D,E,False
356,3322,B,B,True
358,1238,C,B,False
358,1480,A,A,True
358,1656,A,B,False
358,2588,E,C,False
358,2741,D,A,False
359,487,E,E,True
359,974,B,C,False
360,3306,C,B,False
361,858,E,C,False
361,1961,B,B,True
361,2009,B,A,False
361,3082,D,D,True
361,3315,E,C,False
362,2396,E,E,True
363,3478,E,B,False
364,2661,A,A,True
364,3180,C,B,False
365,891,A,B,False
366,1410,E,E,True
366,3342,D,D,True
366,3362,C,C,True
367,150,A,E,False
367,2938,D,E,False
367,3283,E,A,False
370,443,B,B,True
370,1391,B,B,True
371,1998,A,B,False
376,576,A,E,False
376,3676,A,A,True
377,121,B,D,False
377,1873,A,A,True
377,3533,E,D,False
379,2357,D,E,False
379,2556,D,B,False
379,2843,B,B,True
379,3431,E,D,False
379,3557,E,E,True
380,3137,A,B,False
381,252,E,A,False
381,2742,C,C,True
382,2995,C,A,False
382,3293,B,A,False
383,1566,D,B,False
384,518,D,E,False
384,2050,A,B,False
384,2601,D,D,True
384,2778,E,E,True
385,960,E,C,False
385,2259,D,B,False
387,1225,E,D,False
387,3565,E,E,True
388,110,A,D,False
388,1523,B,A,False
388,3079,A,B,False
388,3706,E,B,False
389,2414,C,C,True
389,3399,B,C,False
389,3532,D,E,False
390,2430,A,C,False
391,3593,A,B,False
392,1930,E,A,False
392,2450,A,B,False
393,1575,A,A,True
393,3488,A,A,True
393,3694,A,B,False
394,770,A,E,False
394,909,A,C,False
394,3463,A,B,False
395,2245,D,A,False
395,3031,B,C,False
397,880,B,E,False
399,1527,E,D,False
399,2128,D,C,False
399,3005,E,E,True
399,3653,C,A,False
400,1584,B,E,False
400,3882,B,B,True
401,1294,D,D,True
401,2992,A,E,False
401,3374,E,D,False
401,3539,E,D,False
401,3621,E,A,False
402,2781,C,C,True
403,1399,A,C,False
404,1464,C,E,False
404,3866,A,E,False
406,2949,C,B,False
407,622,E,B,False
407,2935,B,A,False
407,3977,A,C,False
408,2917,E,B,False
410,597,E,E,True
410,2532,A,D,False
411,400,B,C,False
411,2702,E,A,False
411,3000,A,C,False
411,3704,D,B,False
412,176,E,A,False
412,2647,E,E,True
412,3818,D,D,True
413,1880,B,E,False
413,2281,C,D,False
414,1034,E,B,False
414,1207,A,C,False
414,3849,E,E,True
414,3850,A,D,False
415,1683,B,B,True
415,2785,A,D,False
415,2905,A,D,False
415,3078,D,E,False
415,3995,A,A,True
416,3985,E,D,False
417,1853,D,B,False
417,3566,E,B,False
417,3922,C,A,False
418,2548,E,E,True
419,4000,B,D,False
421,2649,B,E,False
422,1965,E,A,False
422,3570,B,C,False
422,3758,E,B,False
423,3708,D,E,False
424,2267,E,E,True
425,1916,C,C,True
426,2397,A,D,False
426,3554,B,E,False
427,3807,E,C,False
428,2856,E,A,False
430,3756,A,D,False
431,1357,D,C,False
431,2278,D,A,False
431,2321,B,D,False
431,3893,A,E,False
432,1970,D,D,True
432,3046,B,C,False
432,3576,E,E,True
433,1470,C,A,False
433,2907,E,D,False
434,3347,A,D,False
434,4265,A,A,True
434,4303,E,B,False
436,637,E,E,True
436,2025,E,B,False
436,2161,B,D,False
437,11,E,E,True
437,687,D,E,False
437,4086,E,A,False
437,4360,E,B,False
438,153,E,D,False
438,2371,A,E,False
438,2642,D,E,False
438,2812,D,B,False
438,2913,E,B,False
438,3843,E,B,False
438,4137,B,A,False
438,4200,E,A,False
439,3287,B,D,False
439,4033,E,B,False
440,950,B,A,False
440,3238,D,C,False
441,3901,E,E,True
442,2193,A,A,True
442,2253,A,C,False
442,2931,A,B,False
443,868,B,E,False
443,1113,E,B,False
443,2615,A,C,False
444,2201,E,A,False
445,2508,C,A,False
445,3248,E,C,False
446,539,C,E,False
446,3192,E,B,False
447,3538,E,B,False
449,3034,E,A,False
449,3524,A,A,True
450,2928,C,A,False
450,3222,B,B,True
450,3373,C,E,False
450,4402,C,B,False
451,3549,A,A,True
451,3888,E,A,False
452,614,E,D,False
452,1921,C,C,True
452,3874,A,C,False
452,4400,C,C,True
453,4562,A,A,True
454,3016,C,C,True
454,4568,A,B,False
455,3199,D,B,False
455,3216,A,D,False
456,3149,A,D,False
456,3550,E,B,False
456,3631,C,E,False
458,1717,C,B,False
459,2980,E,C,False
459,4643,D,D,True
460,1111,C,C,True
460,1288,B,E,False
460,4458,A,A,True
460,4532,E,E,True
461,4446,E,D,False
462,1117,A,A,True
462,2988,C,A,False
462,4076,E,E,True
463,3959,E,D,False
463,4183,E,B,False
464,1769,A,C,False
464,4481,A,E,False
464,4550,A,B,False
465,3191,B,B,True
465,3510,A,D,False
465,3693,B,B,True
466,704,E,C,False
466,3217,A,A,True
467,4665,E,E,True
468,4164,A,B,False
468,4673,E,A,False
470,723,B,C,False
470,951,E,B,False
470,1831,D,E,False
470,3583,E,E,True
471,3089,D,A,False
471,4105,D,D,True
471,4438,A,A,True
472,101,A,D,False
472,192,A,E,False
472,1883,A,A,True
472,3134,D,D,True
472,4018,D,D,True
472,4073,D,A,False
472,4174,E,C,False
473,2801,A,A,True
473,4508,A,E,False
473,4524,A,C,False
474,2277,A,B,False
474,2352,C,A,False
474,3551,C,E,False
474,4386,C,C,True
474,4485,B,E,False
475,2068,E,B,False
475,3525,E,B,False
475,4142,E,C,False
475,4520,E,E,True
475,4722,A,D,False
476,2624,A,D,False
476,4153,D,E,False
476,4654,B,A,False
477,76,E,E,True
477,2613,D,D,True
477,3771,C,C,True
477,4119,C,C,True
477,4131,E,E,True
478,3996,A,E,False
478,4207,A,A,True
478,4682,C,C,True
479,3114,B,A,False
479,3673,D,C,False
479,4373,B,A,False
479,4769,B,B,True
480,4272,E,E,True
481,2531,A,D,False
481,3701,E,A,False
482,3607,B,A,False
482,4431,B,B,True
482,4587,C,D,False
484,4718,C,C,True
484,4838,E,E,True
485,2650,C,D,False
485,4237,B,B,True
485,4510,E,A,False
485,4668,A,B,False
486,2286,D,D,True
486,3280,D,D,True
486,3831,D,E,False
486,4899,D,A,False
487,4391,C,B,False
487,4768,A,E,False
488,793,E,B,False
488,3556,D,B,False
488,4277,E,A,False
488,4385,E,B,False
488,4410,A,B,False
488,4580,E,C,False
488,4721,A,D,False
488,4892,D,D,True
489,319,C,B,False
489,993,A,E,False
489,3413,D,E,False
489,4570,A,B,False
490,3997,A,C,False
490,4792,E,E,True
490,4871,C,C,True
491,220,E,E,True
491,370,A,A,True
491,2901,A,D,False
491,4814,C,A,False
492,4190,E,B,False
492,4846,E,E,True
492,4902,E,A,False
493,4670,A,C,False
493,4709,A,C,False
493,4728,A,D,False
493,4796,E,B,False
494,2429,A,A,True
494,2971,A,E,False
495,681,E,D,False
495,4054,E,A,False
495,4903,E,E,True
496,4074,E,E,True
496,4991,C,C,True
497,1650,A,E,False
497,4004,A,C,False
497,4754,E,B,False
497,4856,E,A,False
497,4966,E,D,False
497,4967,D,B,False
497,4988,C,C,True
498,649,E,E,True
498,3100,E,B,False
498,3643,D,D,True
498,4350,D,D,True
498,4628,D,A,False
498,4829,D,C,False
498,4859,D,A,False
499,1491,A,A,True
499,2412,A,E,False
499,3713,D,A,False
499,4414,C,C,True
499,4922,A,B,False
499,4995,B,B,True
499,4997,D,D,True
499,5007,B,B,True
500,3225,A,E,False
500,4477,E,C,False
500,4657,B,A,False
500,4900,E,E,True
500,4923,E,E,True
500,5009,C,C,True
500,5025,B,B,True
